Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2024-04-08,2024-04-09,69263.8,72724.2,69169.74,71631.77,0.2505454299724624,0.2962078037001421,6.686895682268595e-08,2738.511052128257,285903.3190422715,1
2024-04-07,2024-04-08,68875.43,70242.04,68850.36,69388.74,0.18223573643922963,0.11597443106784508,3.5994405737852714e-08,2459.4232299696428,380763.6271337985,1
2024-04-06,2024-04-07,67729.96,69566.35,67492.52,68904.86,0.2264086612353042,0.17282080246998632,4.317329310924509e-08,1392.0298199392148,304338.4454642744,1
2024-04-05,2024-04-06,68333.72,68613.19,66099.34,67928.77,0.3084080672288623,0.20948948288392769,3.841980481925505e-08,1202.400019872953,220256.13859702207,1
2024-04-03,2024-04-04,65481.2,66778.9,64792.98,66074.16,0.34259252567148457,0.16549489979467624,2.7322923767234163e-08,1675.2661481289215,192865.15334943176,1
2024-04-01,2024-04-02,71249.59,71249.59,68246.03,69731.26,0.22724849865618763,0.2502990358258639,6.229747429240111e-08,1642.237066176471,306850.2560516314,1
2024-03-31,2024-04-01,69632.92,71345.73,69632.92,71216.98,0.15871471382296656,0.14273551770329132,5.086472393689527e-08,2006.5408697225002,448710.63485290203,1
2024-03-30,2024-03-31,69820.05,70255.82,69560.02,69674.78,0.18693836592450913,0.057983882169038395,1.7543486623942607e-08,2068.424430812256,372715.25112258975,1
2024-03-29,2024-03-30,70803.3,70893.95,69130.05,69850.52,0.24246737761854187,0.14699305800225074,3.42891970422837e-08,2127.982308243016,288082.1357745341,1
2024-03-28,2024-03-29,69472.86,71529.96,69000.37,70702.74,0.318471719754578,0.2108011619660504,3.7438750887412704e-08,2261.620867733292,222006.33718587397,1
2024-03-27,2024-03-28,70002.7,71645.99,68515.98,69529.85,0.31118230400552127,0.26083663556756487,4.741027954049916e-08,1870.8821988659047,223437.67336707664,1
2024-03-26,2024-03-27,69765.16,71489.41,69468.56,70059.97,0.34634599971349056,0.16840576068022575,2.7502196547116153e-08,621.2904024343893,202283.17941583286,1
2024-03-23,2024-03-24,63699.97,65980.04,63119.94,64238.03,0.3034265745953254,0.23834392266695245,4.4429234903699195e-08,2283.338385296123,211708.6484124639,1
2024-03-21,2024-03-22,67740.03,68091.76,64650.4,65476.17,0.4518352886457514,0.28678271448870474,3.590022320372445e-08,2763.7222130274113,144911.58978805377,1
2024-03-18,2024-03-19,68308.53,68920.04,66689.99,67711.55,0.33314589060615013,0.1858392590271096,3.155171634902422e-08,2279.1634595395667,203248.94260829882,1
2024-03-13,2024-03-14,71421.13,73607.76,71333.36,73087.95,0.4330945286824549,0.1895351273430009,2.47531692404556e-08,3735.134407121994,168757.50017518256,1
